Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Profit,Estimated Cost,Profit Margin %,ROI_Factor,Ship Delay,Shipping Class,Order Year,Order Month,Order Day,Sales_Performance,Is_Profitable
1,CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,78.588,183.37199999999999,30.0,0.42857142857142855,3,Standard,2017,November,8,Medium Sales,True
2,CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,219.58200000000002,512.3580000000001,30.0,0.42857142857142855,3,Standard,2017,November,8,Medium Sales,True
3,CA-2017-138688,2017-06-12,2017-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels For Typewriters By Universal,14.62,4.385999999999999,10.234,30.0,0.4285714285714285,4,Standard,2017,June,12,Low Sales,True
4,US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,957.5775,287.27324999999996,670.30425,30.0,0.4285714285714285,7,Late,2016,October,11,Medium Sales,True
5,US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,6.710399999999999,15.657599999999999,30.0,0.42857142857142855,7,Late,2016,October,11,Low Sales,True
6,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood And Plastic Desk Accessories, Cherry Wood",48.86,14.658,34.202,30.0,0.4285714285714286,5,Standard,2015,June,9,Low Sales,True
7,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,2.184,5.096,30.0,0.4285714285714286,5,Standard,2015,June,9,Low Sales,True
8,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 Ip Phone Voip Phone,907.152,272.1456,635.0064,30.0,0.4285714285714286,5,Standard,2015,June,9,Medium Sales,True
9,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,Office Supplies,Binders,Dxl Angle-View Binders With Locking Rings By Samsill,18.504,5.551200000000001,12.9528,30.0,0.4285714285714286,5,Standard,2015,June,9,Low Sales,True
10,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206Vtel 6 Outlet Surge,114.9,34.47,80.43,30.0,0.42857142857142855,5,Standard,2015,June,9,Medium Sales,True
11,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,511.85519999999997,1194.3288,30.0,0.42857142857142855,5,Standard,2015,June,9,High Sales,True
